isocode,XRAT,POP,cc,cg,ci,kc,kg,ki,openc,openk,csave,rgdpch,rgdpl,cgdp,rgdptt,y,p,pc,pg,pi,yr,cgnp,rgdpeqa,rgdpwok
PHL,2.019998074,28308.29,74.737994745,12.033568227,14.761054793,75.315367369,15.223557325,12.40983882,23.906217282,34.073856585,13.228437028,2067.6787304,2070.9750482,489.07416282,2100.2691913,16.662030148,54.593720303,54.962120561,37.469795972,66.688277078,1961,99.299188855,2700.7148019,5442.6755857
PHL,3.727852106,29152.54,75.898898664,12.421919288,14.067521072,73.836507334,14.933070961,11.735479237,32.500142813,34.848969698,11.679182047,2100.7391164,2105.9126872,485.98349138,2067.9065963,15.649035574,32.345032885,32.477726766,21.644275351,41.078101518,1962,99.689748954,2739.4190435,5551.3368928
PHL,3.91042304,30070.06,70.364089423,12.825586531,15.646946859,68.322367101,15.163513264,13.021055469,31.914801365,35.248192944,16.810324046,2162.6124083,2164.8020025,502.11151673,2113.5779971,15.532302612,33.630500952,33.74725304,22.832818354,41.956180035,1963,99.682712504,2814.0227844,5736.613967
PHL,3.910007,31037.11,71.05417663,12.942033321,16.618687317,69.558284223,15.258747274,13.954740355,32.924953698,38.382129617,16.003790049,2170.084655,2169.0323224,513.2791073,2129.3531636,14.97148623,34.463467448,34.252889021,23.730126021,43.722546474,1964,99.608698166,2822.7148806,5779.1654687
PHL,3.909173012,32030,69.825613824,13.272300734,16.876548635,68.01448462,15.129253164,14.080023494,34.414368948,40.182402568,16.902085441,2210.2985081,2208.3922437,526.6811223,2147.6289552,14.314437369,35.629058864,35.804473725,24.221445877,43.874632227,1965,99.514811566,2873.5658814,5914.282248
PHL,3.900000095,33102.03,69.656120214,12.788753809,15.959421634,68.915557774,14.527410525,13.611543622,34.846613298,40.81604909,17.555125977,2228.2216262,2226.0953156,555.168046,2195.4414386,13.943364811,36.112214349,36.217581369,24.995001516,44.560881427,1966,99.470678791,2895.0876343,5987.5676122
PHL,3.900000095,34198.7,72.857398216,13.080229023,15.905675043,74.893490132,15.176403,14.150335818,35.629134542,39.300882096,14.062372761,2293.5046399,2291.6100954,610.12188247,2345.2904432,14.719364753,35.666989703,35.332804161,24.041642337,46.758005625,1967,99.000823815,2977.5323405,6187.7390601
PHL,3.900000095,35310.34,75.067953963,13.294814348,14.877295068,78.291048684,15.381378127,13.571629014,32.578045003,36.719869182,11.637231689,2342.6141711,2343.5847537,657.70026058,2435.1502511,14.668947684,35.473387777,34.620942449,23.560392325,50.420485919,1968,98.947991291,3040.5611678,6350.6266093
PHL,3.900000095,36427.328,75.134343054,13.507739261,14.839899291,79.087134665,15.538283563,13.591977703,29.422598134,35.132344924,11.357917685,2381.0651481,2382.4506865,704.2735516,2492.2587907,14.641509589,35.277042246,34.845490697,23.092862936,48.552405875,1969,99.195375568,3086.3770939,6482.0717203
PHL,5.904349804,37540,71.660342951,14.212214324,13.595863464,75.664718511,15.925964658,12.536840302,42.6224538,35.313256362,14.127442725,2396.1022718,2401.3476533,744.60349106,2513.6380983,14.891271124,23.936499777,22.996760226,15.625028115,37.577889721,1970,98.212887289,3101.4409998,6547.8660779
PHL,6.431707859,38654.792,70.932040315,15.324845053,13.703241552,74.112606029,16.54604602,12.593165636,40.865019977,33.818903924,13.743114632,2460.9339518,2466.7667377,787.96635205,2547.9819296,14.689373269,24.324493874,23.864972864,14.842660955,37.306997501,1971,98.902464193,3179.2791977,6728.0421976
PHL,6.674841881,39778.14,69.54373821,16.861850092,13.383253084,71.826453801,17.627093483,12.282408833,39.150501387,34.20854701,13.594411697,2537.0643839,2544.4977153,831.6899093,2594.0407978,14.257036789,24.23374554,23.970258589,14.730739065,37.575952928,1972,99.018954621,3267.6417492,6943.0879585
PHL,6.756282806,40900.38,64.939455888,16.892331116,13.290415016,69.531449674,18.080975404,12.575339025,44.654678559,34.736359008,18.168212996,2685.3192679,2691.6986997,955.30147659,2832.4270503,14.786068769,25.806606196,25.342271227,14.571843578,42.354997657,1973,99.785691267,3451.3013301,7351.3244122
PHL,6.787875175,42011.888,67.022337144,19.34673816,15.962422043,70.15157111,19.915625402,14.526125692,52.37372387,33.954558249,13.630924696,2729.7205518,2731.539121,1028.5248946,2792.8842263,14.820763803,31.893319244,31.142967389,16.385546384,53.839559922,1974,100.39125788,3500.3032904,7483.9408463
PHL,7.247900009,43103,66.184230968,20.371210846,19.536099062,67.558496562,20.378213757,17.054208464,48.12650009,34.075928243,13.444558186,2795.0248182,2786.6110233,1127.4594935,2758.4056183,15.051911786,30.648841971,29.86989548,16.154124471,48.402075089,1975,99.748964827,3575.9117503,7667.8280782
PHL,7.440258026,44181.168,64.612579266,19.728075039,21.580862656,65.028683312,19.472062056,18.710825417,44.574495661,33.721493244,15.659345694,2931.3351871,2913.6786929,1220.2487184,2838.0216478,14.740993851,31.714755101,30.566008103,17.349248109,48.286256994,1976,99.166758376,3741.8346154,8044.2502136
PHL,7.402824879,45244.032,63.993107786,18.959333926,20.114486589,65.315739241,18.581435041,17.854710181,45.183046216,35.570871467,17.047558288,3013.9303594,2999.1447897,1345.4031938,2960.3937866,14.732689972,32.278804207,31.350757101,17.513961005,49.148248503,1977,99.329002097,3840.358798,8280.0092611
PHL,7.365757942,46289.208,64.919297475,18.606853897,20.751996638,66.368125997,18.327379859,18.352886676,45.694891916,37.161356578,16.473848627,3092.3090092,3076.3447966,1472.2529555,3039.0371292,14.407305636,33.252442339,32.527630366,18.006187561,49.190143416,1978,99.606579333,3934.87635,8509.0615373
PHL,7.377550125,47314.328,65.628124031,17.929520756,21.515281348,67.880802484,17.996205107,19.361866013,48.169406855,39.015821838,16.442355213,3187.9036479,3168.9789459,1663.7046084,3171.9477172,14.718407922,34.958710392,33.322123223,18.286895952,53.844068302,1979,100.31543098,4045.9208636,8776.1921379
PHL,7.511433125,48317,66.586085544,18.272908392,20.033307481,67.161225811,17.705396453,17.811499971,51.978023991,47.487679632,15.141006064,3288.9214978,3274.8382829,1838.2147744,3204.604357,15.104069915,36.582404009,36.693158891,18.127833873,53.047180771,1980,99.803486373,4164.100181,9059.8497541
PHL,7.899650097,49343.12,66.013065636,17.329285424,20.003116823,66.454251274,16.697022928,17.866463086,51.001686646,47.452001088,16.65764894,3307.4806293,3293.0175655,2013.762832,3217.7014352,14.919683088,35.871646731,36.474480876,18.129559366,49.252699713,1981,99.626060029,4179.0823785,9100.4435007
PHL,8.539999962,50535.44,66.803555379,17.858836742,21.133390637,67.306806628,17.339562521,18.668460306,46.50980277,44.566040448,15.337607879,3348.7360651,3331.7536145,2183.8264694,3251.3866341,15.707722319,33.631691362,34.62460846,17.187321467,44.389403121,1982,98.854582772,4221.3309961,9208.5870082
PHL,11.11271954,51849.8,66.745369963,17.328573894,22.492097615,65.596960274,16.441142928,19.669247415,49.899691978,44.513069639,15.926056143,3290.5011407,3269.0727724,2177.0585255,3115.9680969,14.567517944,29.365731096,30.217729754,14.055273028,38.633049863,1983,98.426073692,4141.7662997,9046.6750746
PHL,16.69870949,53242.04,68.758795443,16.454391978,15.741229623,67.142465879,15.464418116,14.017796108,49.438802876,43.87915866,14.786812579,2992.2428099,2990.680886,2043.4585959,2862.5191254,12.396996133,28.835559252,30.259385258,12.336888005,39.862337142,1984,96.950127841,3756.9470743,8212.0241571
PHL,18.60733986,54668,70.455207262,16.492258724,10.955427491,71.340980955,16.073907774,10.126813358,45.786825755,39.059622392,13.052534014,2760.0706447,2768.6697832,2030.1767279,2756.9801416,11.597828279,27.708271475,29.48443938,12.777839437,38.761812761,1985,97.235623371,3458.1429866,7569.6100866
PHL,20.38567924,56157.12,68.203083309,16.020593152,11.83460836,69.182356848,15.743421477,11.061297883,48.614487199,43.473341076,15.776323539,2746.1655042,2751.831701,2075.8577826,2747.6643161,11.324409049,25.621136598,27.085253305,12.720882733,34.646567919,1986,97.92884394,3433.1541387,7513.9381971
PHL,20.56768036,57738.84,71.27008263,15.599461826,12.690787521,72.337919915,15.690589463,12.035065808,52.906718711,48.253566234,13.130455543,2810.1653268,2815.6629348,2203.0045871,2829.7058881,11.385503531,26.081202094,26.976894436,14.048380683,35.841784003,1987,98.251518826,3507.8857273,7678.4305283
PHL,21.09468079,59369,69.983129418,15.614621282,13.02584364,72.637077983,16.045674841,12.566959237,55.181354165,52.904477269,14.402249299,2920.4604786,2925.4047204,2417.2340252,3002.7332452,11.702287386,26.399447933,26.763216638,15.270458037,37.785834428,1988,99.079058337,3633.1504184,7954.5955255
PHL,21.73667908,61003.44,69.929170396,16.393288677,15.405055696,71.452687865,16.316610043,14.665379938,58.735502153,56.903517117,13.677540927,2991.6065056,2992.3265371,2519.5715396,3013.3622354,11.458522427,27.721964333,27.992723802,16.101241397,38.859079579,1989,98.777019463,3717.5237051,8135.1005733
PHL,24.31049919,62598,71.040950913,17.69106058,17.123007095,71.567271941,16.920667593,16.39912679,60.873605948,58.370241597,11.267988507,3009.3215546,3006.8909238,2598.5148218,2979.1337276,11.295460348,27.21026294,27.40958287,15.580919919,38.398457482,1990,99.46065872,3731.3538953,8165.9638756
PHL,27.47863007,64061.728,72.578407448,16.342946956,14.125959148,72.417008071,16.463906406,13.306871872,62.229350441,58.52328485,11.078645596,2948.0695369,2949.8015006,2643.3352689,2926.2147074,11.262098704,26.799116477,26.915997021,16.30592111,38.33863247,1991,100.52483554,3670.9731856,7831.0920904
